src,vertex_type,dest,weight,edge_type
10,L,-4707,6,va
-4707,R,10,6,va
10,L,-4833,4,tr
-4833,R,10,4,tr
10,L,-4950,5,va
-4950,R,10,5,va
10,L,-5790,3,tr
-5790,R,10,3,tr
10,L,-6073,3,tr
-6073,R,10,3,tr
10,L,-6152,3,te
-6152,R,10,3,te
10,L,-6200,2,tr
-6200,R,10,2,tr
10,L,-6279,4,tr
-6279,R,10,4,tr
10,L,-6964,3,tr
-6964,R,10,3,tr
10,L,-7355,3,tr
-7355,R,10,3,tr
10,L,-7504,2,tr
-7504,R,10,2,tr
10,L,-7832,3,tr
-7832,R,10,3,tr
10,L,-8059,2,tr
-8059,R,10,2,tr
10,L,-8366,3,va
-8366,R,10,3,va
10,L,-9200,1,tr
-9200,R,10,1,tr
10,L,-9208,3,tr
-9208,R,10,3,tr
10,L,-9215,5,tr
-9215,R,10,5,tr
10,L,-9500,3,tr
-9500,R,10,3,tr
10,L,-9644,2,va
-9644,R,10,2,va
10,L,-9684,3,tr
-9684,R,10,3,tr
10,L,-9754,3,te
-9754,R,10,3,te
10,L,-9773,2,tr
-9773,R,10,2,tr
10,L,-10135,4,tr
-10135,R,10,4,tr
10,L,-10163,4,tr
-10163,R,10,4,tr
10,L,-10322,5,tr
-10322,R,10,5,tr
10,L,-10354,2,tr
-10354,R,10,2,tr
10,L,-10539,3,tr
-10539,R,10,3,tr
10,L,-11404,3,tr
-11404,R,10,3,tr
10,L,-11549,4,tr
-11549,R,10,4,tr
10,L,-11609,3,tr
-11609,R,10,3,tr
10,L,-11612,2,va
-11612,R,10,2,va
10,L,-12174,4,tr
-12174,R,10,4,tr
10,L,-12607,3,tr
-12607,R,10,3,tr
10,L,-12633,3,te
-12633,R,10,3,te
10,L,-12853,5,tr
-12853,R,10,5,tr
10,L,-12863,2,tr
-12863,R,10,2,tr
10,L,-13109,4,tr
-13109,R,10,4,tr
10,L,-13200,2,tr
-13200,R,10,2,tr
10,L,-13247,4,tr
-13247,R,10,4,tr
10,L,-13643,3,tr
-13643,R,10,3,tr
10,L,-13953,3,tr
-13953,R,10,3,tr
10,L,-14396,3,tr
-14396,R,10,3,tr
10,L,-14572,4,tr
-14572,R,10,4,tr
10,L,-14642,4,tr
-14642,R,10,4,tr
10,L,-14646,2,tr
-14646,R,10,2,tr
10,L,-14861,4,tr
-14861,R,10,4,tr
